loss_generator,loss_discriminator
0.096898,0.053322
0.069849,0.256310
0.080055,0.194111
0.100597,0.035921
0.101555,0.034068
0.123139,0.019231
0.060930,0.145744
0.049869,0.863702
0.084664,0.028867
0.098215,0.282680
0.115328,0.110634
0.122239,0.072827
0.062306,0.143531
0.076905,0.111161
0.101662,0.027871
0.104119,0.351533
0.094804,0.071929
0.076787,0.041784
0.090293,0.054192
0.049979,0.018830
0.085939,0.016430
0.099276,0.005599
0.098104,0.005496
0.069224,0.095715
0.091090,0.005559
0.074051,2.472760
0.110698,0.024020
0.141873,0.024352
0.081582,0.038814
0.112325,0.288500
0.121269,0.231985
0.090555,0.644326
0.050637,0.186325
0.063183,0.045554
0.035803,0.438298
0.085687,0.023131
0.079115,0.014693
0.066402,0.030115
0.122202,0.009678
0.054688,0.040815
0.066605,0.035804
0.085042,0.013419
0.043832,1.203861
0.040418,1.855918
0.085969,0.039273
0.103738,0.117666
0.095748,0.475183
0.049403,0.976923
0.088354,0.115241
0.085621,0.021609
0.080775,0.023777
0.065509,1.935785
0.053486,0.018502
0.049231,0.270143
0.072703,0.976203
0.080935,0.236457
0.080124,0.060277
0.081194,0.014471
0.096822,0.014487
0.078939,0.010338
0.074603,1.296671
0.081995,0.149227
0.060964,0.034395
0.095088,0.076003
0.048481,0.279019
0.064870,0.121230
0.073980,1.284501
0.028657,0.267177
0.044630,0.111341
0.059329,0.051609
0.079784,0.017602
0.193762,0.009332
0.076113,0.068588
0.083650,2.455344
0.089939,0.017854
0.057901,0.209996
0.105769,0.011501
0.077714,0.884344
0.057577,4.083582
0.073293,0.132964
0.037832,1.791456
0.103366,0.044701
0.077148,0.013025
0.076758,0.029413
0.041165,0.625965
0.084827,3.011046
0.097902,0.149288
0.083597,0.101267
0.121813,0.031821
0.098077,0.049782
0.062673,0.301847
0.091477,0.028731
0.052559,0.407765
0.110359,0.080743
0.074536,0.094133
0.062101,0.098444
0.059135,0.197730
0.098324,0.284425
0.069500,0.234858
0.132049,0.071427
0.078289,0.042935
0.085326,0.071939
0.116037,0.058099
0.041130,0.953728
0.082595,0.024742
0.101659,0.035449
0.093405,0.035881
0.068114,0.068880
0.078682,0.049328
0.091605,0.043916
0.108923,0.136673
0.107961,0.048314
0.099451,0.021680
0.115399,0.024831
0.044148,0.436159
0.168661,0.015069
0.059739,0.021362
0.065242,0.059381
0.115389,0.009887
0.079268,0.028030
0.080914,0.175119
0.042757,2.109859
0.100725,0.011452
0.145778,0.047324
0.105765,0.008583
0.066644,0.014728
0.086267,0.018172
0.115949,0.028604
0.113963,0.124676
0.035406,0.168455
0.080002,0.082329
0.051469,0.693539
0.056326,0.088417
0.104087,0.036224
0.067029,1.199901
0.106815,0.026506
0.033982,0.918656
0.110818,0.009844
0.064863,0.011707
0.079911,0.014630
0.064788,0.014129
0.078855,0.007046
0.079307,0.006019
0.059182,0.073173
0.076250,1.060034
0.077092,0.015433
0.101459,0.026746
0.099436,0.021706
0.087658,0.186997
0.086010,0.019236
0.057089,0.180838
0.072862,0.068594
0.071980,0.014360
0.094320,0.580843
0.080366,0.016809
0.105431,0.044347
0.064761,0.062365
0.106713,0.005999
0.049828,1.063122
0.057311,0.099103
0.033614,0.099613
0.039395,0.120904
0.088451,0.138266
0.068472,0.042206
0.086070,0.098417
0.059083,1.095999
0.108435,1.036421
0.117788,0.400226
0.082116,0.211626
0.116657,1.584922
0.083621,3.520302
0.074473,0.019577
0.082343,0.127678
0.054296,0.110940
0.083257,0.231470
0.048610,0.118331
0.076335,0.063066
0.086998,0.214969
0.076678,0.038870
0.035329,3.414675
0.090270,0.098961
0.056423,1.244419
0.061207,1.020729
0.087685,0.016367
0.123943,0.013367
0.078718,0.282162
0.090666,0.016667
0.122053,0.286979
0.091169,0.160183
0.077119,0.101895
0.116438,0.720919
0.106907,0.020477
0.050278,0.230034
0.104744,0.008514
0.069837,0.035129
0.052902,0.179670
0.056476,0.042545
0.065777,0.040764
0.055677,0.045019
0.071184,0.010398
0.073473,0.047691
0.092722,0.009197
0.099133,0.167088
